,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,Wajir,1.75,40.06,26.07,65,87,7.41,KE,1604097191
85,Sorong,-0.88,131.25,28.05,78,42,5.65,ID,1604097192
86,Kavieng,-2.57,150.8,28.35,75,97,3.48,PG,1604097192
87,Along,28.17,94.77,16.92,49,27,0.73,IN,1604097193
88,Krasnystaw,50.98,23.17,7.0,100,100,0.5,PL,1604097194
89,Yuzhno-Kurilsk,44.03,145.86,7.94,72,49,10.56,RU,1604097194
90,Krasnosel'kup,65.7,82.47,-11.98,95,87,6.18,RU,1604097195
91,Junín,-34.58,-60.94,16.11,22,1,3.59,AR,1604097195
92,Vasil'sursk,56.13,46.01,3.36,91,100,2.47,RU,1604097196
93,Basoko,1.24,23.62,21.93,94,100,0.64,CD,1604097196
94,Mungaa,-4.97,34.88,15.77,73,96,4.65,TZ,1604097197
95,Itatskiy,56.07,89.04,-2.93,99,100,1.4,RU,1604096968
96,Kushima,31.46,131.23,11.0,81,20,3.6,JP,1604097198
97,Cacoal,-11.44,-61.45,22.99,93,93,0.55,BR,1604097198
98,Kudahuvadhoo,2.67,72.89,27.77,75,92,4.14,MV,1604097199
99,North Bend,43.41,-124.22,17.78,93,90,3.6,US,1604097199
100,Boma,7.08,-2.17,22.61,93,52,1.05,GH,1604097200
101,Bairiki Village,1.33,172.98,30.0,70,20,6.7,KI,1604097200
102,Yangi Marg`ilon,40.43,71.72,5.0,44,0,2.1,UZ,1604097201
103,Nkayi,-4.18,13.29,23.33,91,88,0.83,CG,1604097202
104,Majene,-3.54,118.97,26.47,77,89,2.25,ID,1604097202
105,Narsaq,60.92,-46.05,-4.0,73,40,1.5,GL,1604097203
106,Tazovsky,67.47,78.7,-8.79,97,98,6.6,RU,1604097203
107,Lodja,-3.48,23.43,20.08,97,72,0.54,CD,1604097204
108,Tura,25.52,90.22,22.03,85,86,1.75,IN,1604097204
109,Keningau,5.34,116.16,24.0,94,20,1.0,MY,1604097205
110,Ostrogozhsk,50.87,39.08,9.89,96,100,2.15,RU,1604097206
111,Ürümqi,43.8,87.6,2.0,69,0,2.0,CN,1604097206
112,Batagay-Alyta,67.8,130.41,-16.09,93,100,0.66,RU,1604097207
113,Esim,4.87,-2.24,25.62,85,64,2.38,GH,1604097208
114,Port Elizabeth,-33.92,25.57,10.0,81,0,1.5,ZA,1604097162
115,Hilo,19.73,-155.09,29.0,70,75,4.6,US,1604097209
116,Leeton,-34.57,146.4,16.67,77,17,3.1,AU,1604097210
117,Buriti,-22.93,-45.39,19.0,93,90,2.1,BR,1604097210
118,Malé,4.17,73.51,28.0,83,75,1.5,MV,1604097109
119,Paracuru,-3.41,-39.03,26.67,72,8,4.92,BR,1604097211
120,Panama City,8.99,-79.52,28.0,78,20,4.1,PA,1604097212
121,Vestmanna,62.16,-7.17,8.0,93,44,7.7,FO,1604097212
122,Umba,66.69,34.34,-0.12,94,0,2.95,RU,1604097213
123,Coroatá,-4.13,-44.12,27.99,63,72,2.81,BR,1604097213
124,Mayo,38.89,-76.51,10.0,76,90,4.6,US,1604097214
125,Tiznit Province,29.58,-9.5,21.84,23,0,2.13,MA,1604097215
126,Torbay,47.67,-52.73,2.78,59,75,7.7,CA,1604097215
127,Bethel,41.37,-73.41,2.0,80,90,3.1,US,1604097216
128,Teluknaga,-6.1,106.64,26.67,78,20,1.5,ID,1604097216
129,Elesbão Veloso,-6.2,-42.14,30.52,35,79,0.6,BR,1604097217
130,Castries,14.0,-61.01,26.0,94,75,5.7,LC,1604097049
131,Batagay,67.63,134.63,-20.08,91,98,1.06,RU,1604097218
132,Mayumba,-3.43,10.66,24.65,88,100,1.95,GA,1604097219
133,Sola,-13.88,167.55,26.0,94,90,6.15,VU,1604097219
134,Adiaké,5.29,-3.3,26.0,94,20,0.5,CI,1604097220
135,Tres Arroyos,-38.37,-60.28,13.57,49,0,3.45,AR,1604097220
136,Anori,-3.77,-61.64,28.64,71,64,0.97,BR,1604097221
137,Aksu,41.12,80.26,4.37,64,19,1.79,CN,1604097221
138,Padang,-0.95,100.35,25.5,77,91,1.71,ID,1604097221
139,Port Harcourt,4.78,7.01,26.0,94,20,1.5,NG,1604097222
140,Koungou,-12.73,45.2,26.0,78,75,1.5,YT,1604097222
141,Lüderitz,-26.65,15.16,15.7,56,100,12.77,NA,1604097223
142,Harper,4.38,-7.72,25.33,91,100,3.68,LR,1604097224
143,Calafat,43.99,22.93,9.44,7,72,4.09,RO,1604097224
144,Smithers,54.78,-127.17,1.0,86,40,1.5,CA,1604097225
145,Mlalo,-4.93,38.93,22.76,89,89,2.16,TZ,1604097226
146,Thinadhoo,0.53,72.93,28.31,74,44,4.84,MV,1604097227
147,Pesaro,43.9,12.89,12.78,93,0,2.1,IT,1604097191
148,Bambous Virieux,-20.34,57.76,20.0,56,40,7.2,MU,1604097228
149,Odienné,9.51,-7.57,23.49,60,36,0.34,CI,1604097228
150,Ushuaia,-54.8,-68.3,10.0,71,75,10.3,AR,1604097004
151,Sistranda,63.73,8.83,9.0,93,75,5.7,NO,1604097230
152,Tagusao,9.19,117.81,27.63,81,99,2.66,PH,1604097230
153,Henties Bay,-22.12,14.28,13.33,85,88,2.72,NA,1604097231
154,Matara,5.95,80.54,24.91,88,97,2.81,LK,1604097231
155,Lovozero,68.0,35.01,-3.34,97,23,4.29,RU,1604097232
156,Codajás,-3.84,-62.06,28.8,71,42,1.26,BR,1604097232
157,Mahébourg,-20.41,57.7,20.0,56,40,7.2,MU,1604097233
158,Adzopé,6.11,-3.86,22.92,98,97,1.08,CI,1604097233
159,Kadiri,14.12,78.17,20.75,77,1,0.71,IN,1604097234
160,Magistral'nyy,56.17,107.45,-5.67,92,99,0.65,RU,1604097235
161,Ābādān,30.34,48.3,17.0,51,0,3.12,IR,1604097235
162,Prince Rupert,54.32,-130.32,10.0,66,90,2.6,CA,1604097236
163,Shakiso,5.75,38.92,14.98,95,98,1.26,ET,1604097236
164,Ulagan,50.63,87.96,-7.21,88,65,0.86,RU,1604097237
165,Rikitea,-23.12,-134.97,24.56,65,0,2.71,PF,1604097237
166,Canary Islands,28.0,-15.5,23.89,56,0,4.6,ES,1604097238
167,Dabakala,8.37,-4.43,25.32,71,5,1.22,CI,1604097239
168,Constantine,36.37,6.61,10.0,76,0,1.0,DZ,1604097098
169,Mount Gambier,-37.83,140.77,12.0,81,90,6.7,AU,1604097240
170,Severnoye,56.35,78.36,0.75,97,100,3.59,RU,1604097240
171,Farafangana,-22.82,47.83,19.85,75,40,3.03,MG,1604097241
172,Buncrana,55.13,-7.45,6.99,75,100,5.35,IE,1604097241
173,Humberto de Campos,-2.6,-43.46,24.69,82,84,3.01,BR,1604097242
174,Suslovo,56.22,88.12,-2.08,99,100,1.17,RU,1604097242
175,Provideniya,64.38,-173.3,-4.01,89,98,3.41,RU,1604097243
176,Salinópolis,-0.61,-47.36,26.64,79,41,5.22,BR,1604097244
177,Carnarvon,-24.87,113.63,22.0,78,90,2.1,AU,1604097244
178,Aktau,43.65,51.2,6.0,45,0,6.0,KZ,1604097001
179,Oodweyne,9.41,45.06,22.74,63,64,2.59,SO,1604097246
180,Souillac,-20.52,57.52,20.0,56,40,7.2,MU,1604097247
181,Kavaratti,10.57,72.64,27.89,73,70,4.34,IN,1604097473
182,Laguna,38.42,-121.42,26.67,19,1,0.88,US,1604097473
183,Nikologory,56.14,41.99,4.57,94,99,1.21,RU,1604097410
184,Gamba,-2.65,10.0,24.51,91,75,1.89,GA,1604097474
185,Mīzan Teferī,6.98,35.58,15.62,92,95,0.52,ET,1604097475
186,Sangmélima,2.93,11.98,20.77,92,98,0.63,CM,1604097475
187,Chara,56.91,118.26,-13.41,79,6,0.53,RU,1604097476
188,Rawson,-43.3,-65.1,19.02,27,0,6.39,AR,1604097206
189,Emerald,-23.53,148.17,25.0,23,0,4.1,AU,1604097478
190,Katangli,51.71,143.23,1.13,87,100,1.8,RU,1604097478
191,Colinas,-6.03,-44.25,28.04,54,90,1.2,BR,1604097479
192,Constitución,-35.33,-72.42,15.58,69,0,4.13,CL,1604097479
193,Laas,46.62,10.7,5.56,100,0,1.0,IT,1604097480
194,Hasaki,35.73,140.83,7.0,81,20,3.1,JP,1604097481
195,Pozo Colorado,-23.49,-58.8,21.0,52,0,3.12,PY,1604097481
196,Avera,33.19,-82.53,21.0,52,1,2.6,US,1604097482
197,Tiksi,71.69,128.87,-13.06,95,100,2.19,RU,1604097483
198,Qaanaaq,77.48,-69.36,-11.25,85,91,2.3,GL,1604097483
199,Antri,26.06,78.21,17.0,59,5,0.5,IN,1604097484
200,Inuvik,68.35,-133.72,-14.0,84,86,1.0,CA,1604097484
201,Bandarbeyla,9.49,50.81,25.18,84,4,3.76,SO,1604097485
202,Fichē,9.8,38.73,7.71,69,19,1.26,ET,1604097238
203,Mogadishu,2.04,45.34,26.25,80,52,5.57,SO,1604097340
204,Sechura,-5.56,-80.82,21.32,65,100,7.74,PE,1604097486
205,Kumul,42.8,93.45,0.59,76,0,2.14,CN,1604097487
206,São Filipe,14.9,-24.5,27.58,59,86,6.98,CV,1604097487
207,East London,-33.02,27.91,16.67,68,100,1.13,ZA,1604097488
208,Mujiayingzi,42.12,118.78,5.56,66,82,4.04,CN,1604097488
209,Chulym,55.1,80.96,0.55,99,100,3.22,RU,1604097239
210,Umluj,25.02,37.27,25.67,43,0,2.48,SA,1604097489
211,Kirzhach,56.15,38.87,3.78,90,82,0.94,RU,1604097490
212,Faanui,-16.48,-151.75,26.04,84,1,6.9,PF,1604097490
213,Inhambane,-23.86,35.38,22.39,85,48,4.56,MZ,1604097491
214,Hosanagara,13.92,75.07,19.13,90,24,1.95,IN,1604097492
215,Madimba,-10.4,40.33,24.0,94,40,2.29,TZ,1604097492
216,Dalbandin,28.89,64.41,10.18,39,0,3.04,PK,1604097493
217,Muhafazat Lahij,13.17,44.58,23.93,74,0,2.13,YE,1604097493
218,Tuensang,26.28,94.83,20.72,72,77,1.68,IN,1604097339
219,Talara,-4.58,-81.27,18.38,84,95,5.96,PE,1604097495
220,Forsytheganj,52.63,29.73,7.2,89,100,2.68,BY,1604097495
221,Nemuro,43.32,145.57,9.22,68,29,9.4,JP,1604097496
222,Naryan-Mar,67.67,53.09,-0.01,97,38,6.04,RU,1604097496
223,Luba,3.46,8.55,25.0,100,40,2.6,GQ,1604097497
224,São José da Coroa Grande,-8.9,-35.15,25.18,87,100,4.6,BR,1604097498
225,Baykit,61.67,96.37,-16.98,88,37,1.52,RU,1604097498
226,Madang,-5.22,145.8,25.14,85,100,1.47,PG,1604097498
227,Vila Velha,-20.33,-40.29,25.0,88,75,6.2,BR,1604097339
228,Anking,30.51,117.05,15.29,70,99,1.47,CN,1604097500
229,Dalmau,26.07,81.03,20.04,30,0,2.33,IN,1604097500
230,Leverkusen,51.03,7.0,15.0,80,97,1.92,DE,1604097250
231,Port Moresby,-9.44,147.18,25.0,88,40,1.5,PG,1604097333
232,Minna,9.61,6.56,27.0,61,0,1.5,NG,1604097228
233,Itacoatiara,-3.14,-58.44,28.62,66,97,0.86,BR,1604097502
234,Banda Aceh,5.56,95.32,26.56,75,72,3.92,ID,1604097503
235,Mbekenyera,-10.0,38.98,21.75,85,26,0.95,TZ,1604097504
236,Maxixe,-23.86,35.35,22.07,86,47,4.17,MZ,1604097504
237,Zvenigovo,55.97,48.02,3.0,93,40,3.0,RU,1604097505
238,Havøysund,71.0,24.66,1.0,69,75,2.1,NO,1604097505
239,Bandi̇̄pur,27.93,84.42,13.84,40,4,1.26,NP,1604097506
240,Muzhi,65.37,64.67,2.45,95,100,5.78,RU,1604097506
241,Niterói,-22.88,-43.1,21.0,94,90,13.4,BR,1604097310
242,Ouadda,8.08,22.4,19.99,91,54,1.58,CF,1604097507
243,Lokoja,7.8,6.74,25.44,73,23,1.26,NG,1604097467
